id,type,scenarioType,learningObjectives,order,text,trustLabel,distrustLabel,image,trustChoice.consequences,trustChoice.feedback,distrustChoice.consequences,distrustChoice.feedback,overlayContent,minScore,maxScore,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15
1,story,,Click/tap next or swipe left or right to make choices,1,It's your first day at Seneca Polytechnic. It's a beautiful day and the sun is shining.,"Hi, world!",Sun shining!,,,,,,,,,,,,,,,,,,,
1,story,,,2,"Your friend, Sammy Sting, finds you and buzzes over. \n\n Hey there! Since you're here early, let me take you on a tour!",It's Sammy!,What's up?,,,,,,,,,,,,,,,,,,,
1,story,,,3,"Normally, I'd bring you to Starbucks for a snack. It's a great place to hang out, but it's closed right now...",I love my Starbies?,Oh...,,,,,,,,,,,,,,,,,,,
1,story,,,4,Folks have been extra grumpy in the morning since they closed Starbucks.,I get it?,That's worrisome...,,,,,,,,,,,,,,,,,,,
1,story,,,5,"You follow Sammy through the campus, learning about the different buildings, facilities, and activities available here.",Beautiful...,Is this real?,,,,,,,,,,,,,,,,,,,
1,story,,,6,"""As you settle in, stay alert for phishing scams,"" says Sammy. \n\n ""They could be suspicious emails, fake websites, or strange requests."" ",A phish?,Scams!?,,,,,,,,,,,,,,,,,,,
1,story,,,7,"""There's been a lot more recently! IT Security team has been on it!"" \n\n ""Remember, always verify the source before trusting any information!"" Sammy warns.",I will!,Of course!,,,,,,,,,,,,,,,,,,,
1,story,,,8,"As you both explore, you notice the beautiful building, vibrant student life and the various events advertised on the digital screens.",Peaceful...,Exciting!,,,,,,,,,,,,,,,,,,,
1,story,,,9,"Sammy stops suddenly. \n\n Oh wow, we've wandered far! I know a shortcut back. Let's take a detour back to the main building.",A shortcut?,Is it safe?,,,,,,,,,,,,,,,,,,,
1,decision,,It's decision time! click/tap or swipe left or right to Trust or Distrust,10,Do you trust Sammy to get you back in time?,Trust Sammy's detour,Distrust Sammy,,,"You trust Sammy and follow their shortcut. \n\n The path takes you through a lovely garden and you reach the main building quickly. \n\n ""See? Told you it was a good shortcut!"" Sammy beams.",,"You suggest another route back to the main building. \n\n The path takes a bit longer and you're running out of you-time, but you make it to your next lesson with a minute to spare.",sammy-shortcut.md,,,,,,,,,,,,,
1,reveal,,,13,,I see,Got it,,,,,,,,,,,,,,,,,,,
1,scenario,tutorial,,14,,,,,,,,,,,,,,,,,,,,,,
2,story,,,1,You're checking your email in between power naps at the campus library.,It's so quiet…,Keep sleeping...,,,,,,,,,,,,,,,,,,,
2,story,,,2,There's an offer to access a plentitude of ebooks and textbooks!,I love ebooks!,"Wait, what?",,,,,,,,,,,,,,,,,,,
